nom,RA,Dec,Tmag,n_candidats,periodes,snr_max,verdict_auto,raisons_auto,n_secteurs,secondes,status
TIC 392834850,158.2028,9.3066,4.0,0,,,,,3,7.2,ok
TIC 76645179,87.2539,24.5673,4.0,0,,,,,5,9.3,ok
TIC 400565837,93.0838,32.6934,4.02,0,,,,,7,12.4,ok
TIC 155748920,108.9881,27.8974,4.05,0,,,,,4,7.6,ok
TIC 438211553,96.3674,14.722,4.06,0,,,,,8,14.5,ok
TIC 457087840,105.6386,16.6744,4.07,0,,,,,4,7.5,ok
TIC 438041954,95.0176,14.651,4.07,0,,,,,8,14.3,ok
TIC 45910569,93.0796,22.9085,4.07,0,,,,,3,5.6,ok
TIC 26864144,112.453,27.916,4.08,0,,,,,7,12.8,ok
TIC 406325053,142.9858,11.2993,4.09,0,,,,,3,6.0,ok
TIC 308912591,87.8573,32.1247,4.09,0,,,,,6,11.0,ok
TIC 418149723,146.5419,6.7084,4.09,0,,,,,5,9.5,ok
TIC 407229678,144.3024,6.8358,4.09,0,,,,,5,9.1,ok
TIC 363571931,171.9844,2.8562,4.1,0,,,,,2,4.3,ok
TIC 363496434,170.2836,6.0292,4.11,0,,,,,3,6.0,ok
TIC 84441541,101.1894,28.9708,4.12,0,,,,,5,9.5,ok
TIC 302422226,82.0068,17.2389,4.13,0,,,,,5,10.2,ok
TIC 6088659,79.8193,22.096,4.14,0,,,,,3,5.8,ok
TIC 46943830,97.2407,20.2121,4.15,0,,,,,5,9.7,ok
TIC 283785572,134.6219,11.8575,4.17,0,,,,,4,8.8,ok
TIC 318184988,162.1689,-1.9588,4.18,0,,,,,7,13.2,ok
TIC 35283826,138.8075,14.9414,4.21,0,,,,,3,5.8,ok
TIC 26693841,110.8683,25.0504,4.23,0,,,,,5,9.4,ok
TIC 366657979,133.9813,11.6259,4.23,0,,,,,4,7.6,ok
TIC 337334476,105.0659,16.079,4.23,0,,,,,6,10.9,ok
TIC 240173727,168.9662,13.3075,4.25,0,,,,,5,9.4,ok
TIC 443616529,169.1647,-3.6518,4.26,0,,15.0,rejete,variabilite_continue;eclipse_secondaire;compagnon_trop_gros_2.6Rjup,5,13.7,ok
TIC 392846336,158.6994,6.9541,4.27,0,,,,,3,6.4,ok
TIC 178268553,128.1768,20.4409,4.27,0,,,,,4,7.8,ok
TIC 311996235,88.1672,33.9175,4.28,0,,,,,7,13.0,ok
TIC 418159863,146.5971,11.8102,4.3,0,,,,,3,6.0,ok
TIC 903126673,166.2528,7.3358,4.3,0,,,,,3,6.1,ok
TIC 155712912,108.6753,24.8844,4.32,0,,,,,4,7.9,ok
TIC 97600373,126.6152,27.8929,4.33,0,,,,,6,11.5,ok
TIC 386908527,137.3397,22.0455,4.33,0,,,,,4,7.7,ok
TIC 95431211,154.9325,19.4696,4.36,0,,,,,4,8.1,ok
TIC 29451199,86.4142,20.695,4.36,0,,,,,5,9.5,ok
TIC 238559148,90.9799,20.1384,4.37,0,,,,,5,9.2,ok
TIC 45439935,92.3851,22.1902,4.38,0,,,,,5,9.5,ok
TIC 91614224,105.6032,24.2154,4.38,0,,,,,4,7.8,ok
TIC 115055479,83.182,32.192,4.38,0,,,,,9,15.9,ok
TIC 126277076,133.9152,27.9273,4.39,0,,,,,5,9.6,ok
TIC 350347140,166.2502,7.3357,4.39,0,,,,,3,5.9,ok
TIC 119186321,89.2807,22.8389,4.4,0,,,,,3,6.0,ok
TIC 155463738,103.6614,13.1773,4.41,0,,,,,7,13.3,ok
TIC 45799355,92.9642,21.8682,4.41,0,,,,,5,9.1,ok
TIC 239189268,113.7865,30.961,4.46,0,,,,,8,14.8,ok
TIC 175299655,151.9844,-0.3717,4.47,0,,,,,6,11.6,ok
TIC 70551630,115.2438,23.0185,4.49,0,,,,,5,9.3,ok
