#
# Full target list for orbit 199, sector 96
# Created Tue Jul 15 13:37:59 EDT 2025 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
TICID,Camera,CCD,Tmag,RA,Dec
2733208,1,3,8.07,356.0456,-13.1907
2733520,1,3,9.29,356.0985,-14.9829
2758565,1,3,12.36,356.2830,-17.4493
2760102,1,3,15.43,356.3614,-15.4774
2760219,1,3,11.44,356.3752,-16.1141
2760232,1,3,11.13,356.3773,-16.1762
2760710,1,3,13.84,356.5271,-16.6916
2761023,1,3,5.98,356.4683,-14.7549
2761472,1,3,12.55,356.5817,-11.9463
2761897,1,3,8.61,356.5426,-14.4983
2762652,1,3,8.57,356.7810,-17.0995
2835867,1,3,8.14,356.7174,-12.4371
2836713,1,3,7.82,356.9005,-15.9810
5611236,1,3,11.87,345.9981,-16.2043
5632856,1,3,9.05,346.2335,-17.2108
5633132,1,3,4.93,346.3033,-17.0795
5633483,1,3,7.71,346.3510,-15.4317
5634788,1,3,12.35,346.3809,-14.5752
5639530,1,3,9.68,346.4625,-15.7902
5640278,1,3,12.92,346.5136,-16.4104
5641821,1,3,8.85,346.6601,-14.6044
5642268,1,3,8.54,346.6726,-16.6404
5656273,1,3,9.21,347.0823,-15.4101
5716512,1,3,6.43,347.4567,-14.5106
5716636,1,3,8.70,347.4758,-15.0412
5717323,1,3,8.11,347.5239,-17.4472
5719106,1,3,9.44,347.6464,-14.5430
5719355,1,3,8.41,347.6336,-15.7303
5726142,1,3,8.85,347.8604,-13.4751
5726510,1,3,8.96,347.9384,-15.3845
5738528,1,3,10.56,348.0458,-14.1083
5739618,1,3,8.87,348.2025,-15.0009
5775131,1,3,8.69,348.5815,-17.3786
5777935,1,3,9.17,348.7003,-13.6244
5778313,1,3,8.00,348.6772,-14.4465
5796235,1,3,6.88,348.9698,-13.1840
5796523,1,3,15.38,348.8779,-14.6687
5796540,1,3,15.96,348.8878,-14.7909
5796745,1,3,8.24,348.8833,-15.8570
7143811,2,1,9.02,4.1097,-47.8684
7144533,2,3,7.36,4.3228,-43.8528
7146534,2,3,5.28,4.6778,-43.2356
7148510,2,3,8.03,4.9072,-43.0821
7150142,2,3,8.64,5.3325,-45.7522
7150628,2,3,13.86,5.2972,-42.7612
7152332,2,3,8.32,5.5810,-44.6492
7153462,2,3,9.10,5.7528,-45.4865
8964729,1,3,9.66,354.7030,-10.9370
8995067,1,3,8.41,355.1202,-10.2280
8995204,1,3,12.45,355.1292,-11.0214
8997339,1,3,8.64,348.9097,-21.8531
8998231,1,3,9.67,348.9997,-18.0137
8999170,1,3,8.44,348.9260,-22.2632
9003759,1,3,5.11,355.2876,-11.6806
9006100,1,3,8.93,349.1597,-19.9618
9006668,1,3,9.93,349.2309,-18.6066
9006726,1,3,5.83,349.2440,-18.8732
9007748,1,3,9.24,349.2533,-23.3980
9032367,1,3,14.36,355.9118,-11.2727
9032812,1,3,9.80,349.5604,-21.3732
9033144,1,3,9.74,349.6063,-19.8238
9033392,1,3,5.04,349.6237,-18.8415
9034573,1,3,8.64,349.7087,-22.1335
9035878,1,3,12.06,349.9133,-20.0561
9053676,1,3,9.54,356.0658,-11.6053
9055005,1,3,4.55,349.8505,-18.0753
9055831,1,3,16.41,349.9300,-21.3555
9056576,1,3,9.17,350.0865,-23.3884
9057984,1,3,7.15,350.2378,-18.9885
9058053,1,3,8.09,350.1985,-19.2364
9072580,1,3,8.14,350.3321,-20.8495
9100874,1,3,13.12,350.5786,-22.6774
9102069,1,3,14.68,350.7838,-18.2627
9102466,1,3,3.02,350.7417,-20.1013
9102749,1,3,12.37,350.7490,-21.2635
9102978,1,3,9.85,350.7120,-22.2603
9107839,1,3,5.31,351.0339,-18.6876
9108483,1,3,6.03,351.0161,-21.7750
9109983,1,3,9.06,351.1454,-19.3241
9143444,1,3,15.61,351.3285,-17.8661
9143481,1,3,8.29,351.3006,-18.0956
9143974,1,3,8.14,351.2157,-20.2821
9144320,1,3,15.52,351.2221,-21.7834
9144365,1,3,16.22,351.2833,-22.0433
9144674,1,3,8.22,351.2891,-23.4202
9144862,1,3,15.63,351.4475,-23.5974
9145247,1,3,8.77,351.3873,-21.6570
9156146,1,3,7.19,351.4707,-20.6173
9156160,1,3,3.04,351.5112,-20.6425
9156563,1,3,8.33,351.5017,-22.5188
9157251,1,3,15.79,351.6716,-22.1582
9157339,1,3,5.57,351.6482,-21.7409
9158705,1,3,8.70,351.7984,-20.7525
9165090,1,3,8.10,351.9795,-19.7136
9165884,1,3,10.84,352.0884,-23.5042
9166136,1,3,10.51,352.1578,-23.2707
9166565,1,3,8.08,352.1689,-21.4682
9178478,1,3,16.06,352.3641,-22.7381
9179390,1,3,8.09,352.4402,-18.5165
9210746,1,3,8.73,352.5584,-20.3924
9216075,1,3,8.73,352.7565,-19.4899
12358786,1,2,8.33,0.4282,-28.2151
12358822,1,2,14.05,0.4584,-28.4345
12358929,1,2,16.41,0.4354,-29.0851
12358947,1,2,15.55,0.4328,-29.2001
12358973,1,2,16.75,0.5147,-29.4165
12358982,1,2,16.49,0.4312,-29.4629
12358994,1,2,16.56,0.4656,-29.5279
12358997,1,2,16.30,0.4459,-29.5440
12359021,1,2,16.17,0.4793,-29.6953
12359032,1,2,11.59,0.4438,-29.7774
12359058,1,2,13.66,0.8509,-29.9397
12359060,1,2,13.07,0.8530,-29.9207
12359066,1,2,16.74,0.9142,-29.8741
12359071,1,2,16.37,0.8439,-29.8647
12359081,1,2,10.20,0.8518,-29.8137
12359092,1,2,9.77,0.8830,-29.7180
12359093,1,2,16.09,0.8902,-29.7170
12359094,1,2,16.24,0.9236,-29.7152
12359095,1,2,15.67,0.8386,-29.7047
12359106,1,2,16.29,0.9135,-29.6745
12359121,1,2,16.36,0.8327,-29.6090
12359137,1,2,16.36,0.8306,-29.5261
12359139,1,2,17.27,0.8103,-29.5138
12359143,1,2,14.34,0.8737,-29.4607
12359144,1,2,12.09,0.8327,-29.4246
12359159,1,2,16.72,0.8799,-29.2856
12359187,1,2,16.42,0.8673,-29.1356
12359206,1,2,9.04,0.8574,-29.0008
12359212,1,2,14.13,0.8651,-28.9608
12359266,1,2,11.60,0.9106,-28.6237
12359292,1,2,7.58,0.9251,-28.3972
12377591,1,2,7.03,0.9731,-28.3940
12377662,1,2,15.20,1.0101,-28.8563
12377695,1,2,15.31,0.9937,-29.1137
12377732,1,2,16.57,0.9798,-29.3615
12377749,1,2,11.87,1.0036,-29.4462
12377750,1,2,16.42,0.9820,-29.4495
12377770,1,2,13.84,1.0241,-29.5511
12377777,1,2,16.13,1.0570,-29.5917
12377787,1,2,13.09,0.9754,-29.6531
12377823,1,2,17.34,1.0033,-29.8743
12377837,1,2,17.18,1.1554,-29.9548
12377862,1,2,17.39,1.0821,-29.8583
12377867,1,2,10.11,1.0783,-29.8257
12377870,1,2,17.34,1.0830,-29.7759
12377872,1,2,12.86,1.0907,-29.7583
12377881,1,2,16.23,1.1807,-29.6959
12377882,1,2,14.95,1.1611,-29.6954
12377884,1,2,12.81,1.1816,-29.6846
12377891,1,2,10.57,1.1384,-29.6411
12377893,1,2,15.91,1.1212,-29.6213
12377897,1,2,16.06,1.0702,-29.6028
12377900,1,2,12.58,1.1649,-29.5889
12377912,1,2,16.15,1.0929,-29.5060
12377913,1,2,16.60,1.1121,-29.4957
12377923,1,2,15.25,1.1457,-29.3922
12377924,1,2,7.83,1.0956,-29.3816
12377940,1,2,6.37,1.0849,-29.2688
12377942,1,2,12.14,1.1453,-29.2555
12377948,1,2,16.76,1.1017,-29.2118
12377965,1,2,17.32,1.0818,-29.0780
12378718,1,2,14.08,1.1293,-24.4395
12379252,1,2,16.03,1.2899,-26.5301
12393487,1,2,9.12,1.2117,-27.6929
12393646,1,2,17.12,1.2487,-28.6506
12393753,1,2,12.13,1.2542,-29.2691
12393787,1,2,14.15,1.2276,-29.4411
12393800,1,2,10.74,1.3268,-29.5015
12393811,1,2,11.00,1.2445,-29.5633
12393821,1,2,17.22,1.2274,-29.6291
12393823,1,2,8.32,1.2119,-29.6330
12393839,1,2,17.34,1.2428,-29.7711
12393842,1,2,12.61,1.3233,-29.7826
12393868,1,2,9.61,1.4291,-29.9606
12393871,1,2,16.67,1.4152,-29.9415
12393883,1,2,10.76,1.3791,-29.8856
12393885,1,2,15.29,1.3951,-29.8631
12393886,1,2,11.92,1.3621,-29.8557
12393951,1,2,14.19,1.3349,-29.5156
12393958,1,2,12.31,1.4480,-29.4856
12393967,1,2,16.30,1.4632,-29.4581
12393976,1,2,15.77,1.4208,-29.4062
12394000,1,2,17.30,1.4350,-29.2661
12394814,1,2,14.98,1.6855,-29.9098
12394831,1,2,15.65,1.6318,-29.8057
12394904,1,2,12.36,1.6009,-29.3334
12394910,1,2,16.70,1.6819,-29.2852
12394917,1,2,16.55,1.7286,-29.2563
12394947,1,2,15.37,1.7132,-29.0497
12394955,1,2,13.63,1.7265,-28.9746
12394976,1,2,15.78,1.6887,-28.8723
12394985,1,2,15.92,1.6620,-28.8342
12395004,1,2,16.26,1.5994,-28.6752
12395018,1,2,16.18,1.6046,-28.6265
12395035,1,2,11.76,1.7238,-28.5191
12395214,1,2,14.13,1.6930,-27.3482
12395634,1,2,8.06,1.6648,-24.6213
12395998,1,2,6.60,1.8456,-25.3576
12396031,1,2,8.42,1.7628,-25.6011
12417942,1,2,16.60,1.8332,-28.1613
12418007,1,2,16.86,1.8483,-28.5337
12418075,1,2,14.61,1.8073,-28.9110
12418176,1,2,10.34,1.7716,-29.5531
12418226,1,2,17.23,1.8070,-29.8311
12418249,1,2,12.74,1.7988,-29.9636
12418250,1,2,11.78,1.8268,-29.9777
12418258,1,2,14.94,1.9382,-29.8808
12418282,1,2,17.14,1.9695,-29.7698
12418304,1,2,16.57,1.8934,-29.6488
12418423,1,2,14.34,1.8747,-28.8952
12418527,1,2,8.29,1.9634,-28.3246
12418741,1,2,9.30,1.9830,-27.1427
12418892,1,2,12.89,1.9914,-26.2668
12420159,1,2,16.35,2.0138,-29.1216
12420213,1,2,17.57,2.0673,-29.4435
12420253,1,2,16.40,2.0801,-29.7380
12420254,1,2,17.22,2.1250,-29.7394
12420303,1,2,16.26,2.2233,-29.8717
12420328,1,2,8.56,2.1330,-29.7258
12420381,1,2,14.16,2.1602,-29.3288
12420561,1,2,16.19,2.1342,-28.2053
12420894,1,2,8.19,2.2305,-26.2237
12421862,1,2,9.93,2.2737,-27.1215
12422003,1,2,5.75,2.3379,-27.9881
12422130,1,2,14.89,2.3111,-28.7874
12422316,1,2,12.27,2.2835,-29.8078
12423289,1,2,8.84,2.4119,-24.3852
12423805,1,2,12.72,2.5288,-26.2156
12423815,1,2,14.62,2.5689,-26.2824
12424475,1,2,15.84,2.7673,-29.8617
12424590,1,2,16.34,2.6765,-29.2737
12424707,1,2,9.53,2.7259,-28.6910
12433577,1,2,8.16,2.8407,-27.0126
12433730,1,2,4.24,2.8935,-27.7996
12434227,1,2,12.67,2.9982,-29.5468
12434259,1,2,16.84,2.9893,-29.3998
12434368,1,2,16.19,3.0246,-28.8404
12435046,1,2,9.41,2.9651,-25.2274
12435154,1,2,5.78,2.9992,-24.5663
12435774,1,2,7.12,3.1643,-26.8522
12469707,1,2,8.61,3.1662,-29.3419
12470194,1,2,4.39,3.4263,-26.0229
12470241,1,2,4.76,3.4348,-26.2849
12471629,1,2,11.71,3.4688,-25.5584
12472252,1,2,8.94,3.6662,-25.8848
12473429,1,2,8.22,3.7642,-27.5023
12474225,1,2,8.94,3.8930,-24.3468
12509178,1,2,16.12,3.8980,-29.5336
12509218,1,2,11.49,3.9039,-29.7674
12511001,1,2,8.86,4.2472,-28.0534
12822545,1,4,13.04,338.0541,-17.5441
12858078,1,4,11.40,338.0843,-17.8594
12858196,1,4,6.82,338.2543,-17.5018
12880835,1,4,8.07,345.1815,-24.9961
12931537,1,1,4.36,345.3312,-28.8541
12931705,1,1,7.82,345.3587,-28.0119
12932464,1,4,9.87,345.2899,-24.1789
12932859,1,4,8.41,345.5150,-25.5865
12933046,1,4,15.40,345.5132,-26.5133
12967420,1,4,12.81,345.6079,-25.1454
12968953,1,4,10.09,345.7077,-26.9217
12969289,1,1,16.56,345.7026,-28.2672
12969617,1,1,8.09,345.7252,-29.8526
12970307,1,4,5.03,345.9091,-26.8133
12970429,1,4,13.87,345.8481,-26.2501
12970743,1,4,9.88,345.8951,-24.7283
12972937,1,4,8.34,346.1592,-26.1825
12974464,1,1,8.51,346.2685,-28.4801
12997929,1,4,8.37,346.8235,-25.3595
12999193,1,1,13.37,346.8577,-28.3531
13000397,1,1,8.54,346.9005,-28.5828
13023378,1,1,11.92,347.0538,-28.0078
13023585,1,1,4.81,347.0873,-28.8239
13024362,1,1,8.51,347.2379,-27.1537
13024620,1,4,6.28,347.2134,-25.8309
13058711,1,1,9.30,347.3522,-28.9995
13058935,1,1,9.93,347.4277,-29.7755
13059308,1,1,4.75,347.4361,-28.0886
13060575,1,4,9.22,347.5713,-25.9311
13065840,1,1,7.75,347.7071,-29.9179
13065858,1,1,16.81,347.6944,-29.8103
13065910,1,1,6.25,347.6938,-29.5256
13066232,1,1,8.60,347.7167,-28.0369
13066915,1,4,9.20,347.7281,-24.7254
13074467,1,1,8.40,348.4326,-27.3069
13090700,1,1,14.34,348.7694,-29.4351
13090802,1,1,9.52,348.7770,-28.7957
13097379,1,1,5.61,348.9376,-29.8477
13099148,1,1,5.72,349.1269,-27.0806
13099818,1,1,11.62,349.2527,-29.1995
13137474,1,1,4.46,349.2868,-28.4390
13140280,1,1,4.88,349.7639,-28.3878
13140406,1,1,8.88,349.7610,-29.1122
20891335,1,2,8.59,1.0775,-23.2540
20891859,1,2,15.28,1.1786,-20.9744
20892851,1,2,8.41,1.2817,-20.6129
20892978,1,2,8.44,1.3333,-21.3154
20897314,1,2,9.16,1.4297,-22.5098
20897611,1,2,10.46,1.4848,-20.6541
20898556,1,2,11.18,1.6489,-21.2561
24695044,3,3,10.99,34.8399,-72.7091
24695556,3,2,8.17,25.2064,-67.1832
24695715,3,2,12.25,25.0623,-67.8151
24695725,3,2,16.78,25.2525,-67.8908
24703769,3,3,11.86,24.9771,-71.9070
24704814,3,2,12.19,25.5419,-67.9130
24704862,3,2,7.76,25.3173,-67.6802
24704868,3,2,14.69,25.4577,-67.6218
24705240,3,2,8.01,25.5341,-66.0176
24705556,3,2,12.08,25.6530,-67.1734
24705587,3,2,13.37,25.7480,-67.3157
24706893,3,3,8.21,25.9829,-71.4666
24749881,3,2,12.28,26.2447,-66.0009
24750915,3,3,8.62,26.1784,-70.5601
24751229,3,3,11.16,26.4029,-71.7714
25063296,3,3,10.61,60.0687,-71.2315
25063986,3,3,10.06,60.0799,-68.9669
25064377,3,3,10.43,59.9667,-67.6895
25064848,3,4,9.91,59.9063,-66.2474
25065471,3,3,10.25,60.3078,-67.5572
25077654,3,3,10.92,60.3402,-67.7027
25077712,3,3,12.35,60.3652,-67.9061
25078120,3,3,10.68,60.1681,-69.2898
25078523,3,3,17.63,60.4849,-70.5946
25078597,3,3,11.75,60.3430,-70.8621
25078674,3,3,6.53,60.1825,-71.1666
25078884,3,3,11.23,60.3147,-71.8762
25078924,3,4,10.71,60.9310,-65.9728
25079689,3,3,11.15,60.8585,-68.3516
25079777,3,3,11.30,60.9556,-68.5723
25079928,3,3,11.77,60.9514,-69.0570
25080362,3,3,11.20,60.8212,-70.5030
25080435,3,3,9.66,60.7910,-70.7598
25080787,3,3,9.85,61.1941,-71.8804
25080867,3,3,9.78,61.0908,-71.5587
25081005,3,3,10.95,61.1646,-71.1439
25081091,3,3,9.91,61.0591,-70.8758
25081407,3,3,10.62,61.3304,-69.7218
25081575,3,3,9.96,61.3045,-69.1118
25081629,3,3,14.10,61.1867,-68.9049
25081729,3,3,11.90,61.2299,-68.5370
25081845,3,3,12.20,61.1251,-68.1033
25116373,3,4,8.07,61.2365,-65.9500
25116423,3,4,11.93,61.5039,-66.0801
25116563,3,4,10.79,61.5050,-66.5541
25116870,3,3,11.06,61.6155,-67.7724
25117242,3,3,9.71,61.6394,-69.2699
25117273,3,3,9.19,61.3880,-69.4004
25117536,3,3,8.67,61.5982,-70.4170
25117645,3,3,11.40,61.4174,-70.8545
25117741,3,3,11.18,61.5951,-71.2161
25117756,3,3,9.88,61.4765,-71.2690
25118098,3,3,9.64,61.7916,-71.5135
25118739,3,3,11.14,61.8710,-69.2567
25118797,3,3,9.29,61.9398,-69.0526
25118964,3,3,12.03,61.9334,-68.4196
25131718,3,4,11.65,62.1504,-66.5596
25132222,3,3,9.30,62.0004,-68.3614
25132314,3,3,8.03,62.1286,-68.7022
25132694,3,3,9.21,61.9839,-70.2252
25132720,3,3,11.63,61.9857,-70.3031
25132754,3,3,10.30,62.1381,-70.4346
25132832,3,3,12.62,62.1380,-70.6924
25132893,3,3,10.68,62.0399,-70.9808
25132999,3,3,10.81,62.0298,-71.4495
25133016,4,2,13.45,62.2001,-71.5020
25133052,4,2,8.15,62.1405,-71.6391
25133068,4,2,9.45,62.0870,-71.6983
25133286,4,2,13.58,62.2986,-71.2948
25133604,3,3,13.20,62.3284,-70.0039
25133636,3,3,10.62,62.4674,-69.8557
25134054,3,3,11.20,62.5154,-68.3610
25134105,3,3,12.62,62.4618,-68.1811
25134567,3,4,11.50,62.4215,-66.6228
25153041,4,2,9.36,63.1389,-70.6392
25153109,4,2,8.92,63.0169,-70.3890
25153167,4,2,13.57,63.0755,-70.1657
25153316,4,2,11.43,63.0784,-69.6051
25153404,4,2,10.69,63.1268,-69.3084
25153635,4,2,14.70,62.9748,-68.5590
25153740,4,2,8.17,62.9610,-68.2117
25153759,4,2,17.32,63.0190,-68.1525
25154301,3,4,11.18,63.1537,-66.1759
25154831,4,2,10.32,63.2604,-67.5395
25155310,4,2,10.61,63.3752,-69.2264
25155464,4,2,11.09,63.3396,-69.7030
25155510,4,2,11.30,63.3753,-69.8850
25155654,4,2,11.01,63.3353,-70.3905
25155698,4,2,8.29,63.4129,-70.5068
25155984,4,2,9.75,63.3166,-71.5565
25155998,4,2,11.11,63.2375,-71.5919
25156036,4,2,9.44,63.4412,-71.7059
25194865,4,1,8.26,63.9506,-66.2181
25194908,4,1,12.46,63.9031,-66.3520
25194993,4,1,10.79,64.0250,-66.6544
25195362,4,2,12.76,63.9586,-67.9232
25195446,4,2,11.75,63.8134,-68.1669
25195455,4,2,10.80,63.7612,-68.2000
25195623,4,2,8.70,63.7550,-68.7340
25195850,4,2,13.17,63.7492,-69.4837
25195864,4,2,10.46,63.7538,-69.5367
25196278,4,2,10.02,63.8644,-70.8406
25196356,4,2,8.49,63.7788,-71.1330
27955268,1,3,13.26,358.3573,-18.7451
27964643,1,3,12.95,358.5007,-18.4588
27965020,1,3,8.20,358.7270,-19.1305
27966179,1,2,12.87,358.7518,-22.5390
27972482,1,3,16.60,358.9494,-19.2734
27973239,1,2,8.83,358.9496,-22.9731
27973812,1,2,5.48,359.0300,-21.9920
27985321,1,3,8.98,359.0331,-18.0069
29758859,4,1,11.10,64.0859,-66.1371
29759268,4,2,17.00,64.3321,-67.5442
29759435,4,2,13.01,64.1682,-68.0255
29759557,4,2,11.56,64.0996,-68.4120
29759800,4,2,10.34,64.2587,-69.1357
29759938,4,2,10.87,64.2168,-69.5228
29760053,4,2,9.52,64.3281,-69.8947
29760316,4,2,11.12,64.2820,-70.8033
29760441,4,2,11.03,64.1890,-71.2057
29760913,4,2,11.29,64.5265,-71.1270
29761349,4,2,12.12,64.4306,-69.6617
29761402,4,2,10.84,64.5933,-69.4937
29761724,4,2,12.56,64.4080,-68.4044
29778064,4,1,11.82,64.3552,-66.4047
29778225,4,1,7.99,64.8193,-65.9666
29778239,4,1,9.67,64.8283,-66.0429
29779237,4,2,11.18,64.7190,-69.3261
29779700,4,2,11.99,64.9149,-70.7598
29779873,4,2,12.98,64.8048,-71.3534
29780270,4,2,11.01,65.0074,-71.3167
29780360,4,2,11.53,65.1017,-71.0731
29780451,4,2,11.00,65.1722,-70.7979
29780677,4,2,13.23,65.0572,-70.0952
29780740,4,2,14.82,64.9614,-69.8542
29781101,4,2,11.31,65.2124,-68.6928
29781207,4,2,12.38,65.1083,-68.3604
29781292,4,2,8.94,65.2385,-68.1027
29781308,4,2,8.42,65.0573,-68.0734
29781430,4,2,12.59,65.0315,-67.7367
29781832,4,1,11.90,64.9991,-66.3541
29781872,4,1,9.44,65.1933,-66.2131
29828780,4,2,11.00,66.1665,-70.7304
29828884,4,2,9.69,66.1385,-70.4304
29829265,4,2,8.10,66.2761,-69.3894
29829699,4,2,11.02,66.2711,-68.2002
29829735,4,2,9.85,66.4130,-68.1138
29831118,4,2,8.06,66.4705,-67.5722
29831208,4,2,11.13,66.5827,-67.8063
29832209,4,2,7.26,66.4441,-69.9936
29832379,4,2,8.03,66.6763,-70.3811
29832530,4,2,8.88,66.6673,-70.7542
29832604,4,2,10.40,66.5554,-70.9209
29832730,4,2,9.74,66.7112,-71.2046
29833504,4,2,10.38,66.9905,-70.9346
29834926,4,2,8.62,66.9297,-67.9981
29834988,4,2,14.16,67.0227,-67.8758
29924856,4,2,10.63,72.8672,-71.6655
29925675,4,2,12.28,72.8818,-70.9295
29925818,4,2,11.38,72.8304,-70.8152
29926262,4,2,12.47,72.7585,-70.4903
29926633,4,2,10.39,72.8908,-70.2443
29983149,4,2,13.54,72.8327,-69.8062
29983665,4,2,10.39,72.7510,-69.5762
29984014,4,2,10.46,72.7328,-69.4313
29986479,4,2,8.01,72.8589,-68.4397
29986496,4,2,12.79,72.9732,-68.4323
29986808,4,2,10.43,72.9127,-68.2702
29987134,4,2,6.22,72.8354,-68.0692
29987437,4,2,13.35,72.8976,-67.8696
29987668,4,2,12.18,72.7033,-67.7227
29987961,4,2,12.96,72.9112,-67.5653
29989691,4,1,9.84,72.7942,-65.9753
29990592,4,1,11.64,73.0796,-66.7315
30031510,4,2,9.19,72.9922,-69.4261
30032006,4,2,11.81,73.2668,-69.6246
30033581,4,2,9.86,73.1406,-70.3980
30034081,4,2,10.59,73.0289,-70.7313
30034266,4,2,12.21,73.0377,-70.8533
30034268,4,2,11.82,73.0014,-70.8534
30035035,4,2,9.61,72.9976,-71.5287
30035088,4,2,8.75,73.1828,-71.5717
30037565,4,2,9.60,73.5423,-70.3790
30038422,4,2,12.68,73.5049,-69.9965
30104033,4,2,11.12,73.3725,-69.4091
30105662,4,2,11.40,73.4300,-68.8700
30106140,4,2,11.04,73.4304,-68.7148
30110465,4,1,4.77,73.3771,-66.6753
30110707,4,1,10.71,73.5117,-66.4935
30111936,4,1,11.56,73.8431,-66.4720
30185650,4,2,10.42,73.5900,-68.0016
30186108,4,2,12.89,73.6708,-68.1846
30186481,4,2,9.52,73.6227,-68.2998
30188536,4,2,12.26,73.6917,-68.9627
30189015,4,2,12.08,73.8064,-69.1107
30189775,4,2,9.49,73.6536,-69.3395
30190076,4,2,12.47,73.6729,-69.4366
30191789,4,2,9.46,73.6103,-70.0339
30192292,4,2,9.48,73.8706,-70.2451
30192406,4,2,9.07,73.8730,-70.2936
30193568,4,2,12.08,73.8503,-70.9695
30264466,4,2,16.83,74.0674,-70.9668
30264530,4,2,16.47,73.9670,-70.9287
30264850,4,2,11.84,74.0983,-70.7243
30265037,4,2,9.77,74.0162,-70.6141
30267198,4,2,11.12,74.1667,-69.6990
30268695,4,2,12.15,74.0436,-69.2606
30270183,4,2,9.72,74.1448,-68.8280
30271577,4,2,10.40,74.0451,-68.3937
30271757,4,2,11.80,73.9921,-68.3342
30275662,4,1,10.38,74.0979,-66.4978
30275737,4,1,11.46,74.1444,-66.4740
30275777,4,1,11.11,74.1707,-66.4611
30275795,4,1,11.35,74.0857,-66.4539
30275829,4,1,11.70,74.0037,-66.4379
30275861,4,1,12.17,74.1804,-66.4174
30312104,4,1,10.54,74.4212,-65.9210
30312676,4,1,11.30,74.2868,-66.3903
30312711,4,1,13.10,74.2537,-66.4070
30312722,4,1,12.39,74.2108,-66.4098
30312800,4,1,12.76,74.3237,-66.4421
30312916,4,1,10.90,74.2671,-66.4863
30313007,4,1,11.43,74.2132,-66.5302
30313036,4,1,11.55,74.4210,-66.5452
30315586,4,2,12.21,74.4033,-67.7937
30317282,4,2,13.19,74.2723,-68.4147
30317301,4,2,10.10,74.2836,-68.4201
30319402,4,2,8.07,74.4275,-69.0012
30321719,4,2,12.44,74.2333,-69.6286
30322368,4,2,10.35,74.1962,-69.8402
30399823,4,2,10.77,74.2106,-70.9540
30401301,4,2,10.73,74.6636,-71.6423
30403638,4,2,12.76,74.6170,-70.2586
30403921,4,2,8.19,74.5298,-70.1492
30404026,4,2,12.07,74.7259,-70.1152
30404953,4,2,11.62,74.5923,-69.8036
30405752,4,2,12.59,74.4894,-69.5386
30407429,4,2,8.92,74.6095,-69.0735
30409022,4,2,10.96,74.7648,-68.6767
30464053,4,2,12.21,74.6160,-68.4808
30466384,4,2,11.34,74.5228,-67.6957
30469011,4,1,14.80,74.7249,-66.4700
30469371,4,1,8.49,74.5690,-66.2600
30469454,4,1,9.34,74.7431,-66.2043
30471172,4,1,11.79,75.0248,-66.6611
30473652,4,2,12.43,75.0267,-67.7654
30526897,4,2,11.20,75.0316,-68.4500
30527482,4,2,11.78,74.9896,-68.6179
30531417,4,2,11.12,74.8074,-69.5950
30533103,4,2,9.26,74.9298,-70.1108
30534618,4,2,12.64,75.0144,-70.7211
30537037,4,2,10.26,75.3302,-71.4203
30630877,4,2,8.13,75.1355,-70.6990
30631031,4,2,7.28,75.1643,-70.6238
30631332,4,2,12.66,75.1371,-70.4970
30636219,4,2,10.43,75.3455,-69.1525
30638473,4,2,12.53,75.1994,-68.6295
30642087,4,2,8.62,75.3324,-67.4470
30716342,4,1,10.31,75.1703,-66.4751
30716707,4,1,12.14,75.3726,-66.2922
30718115,4,1,11.45,75.5383,-66.3433
30722080,4,2,5.87,75.3867,-68.0285
30722685,4,2,12.58,75.3864,-68.2206
30759304,4,2,11.61,75.4383,-70.5978
30760081,4,2,13.89,75.4600,-70.9796
30762052,4,2,8.10,75.8561,-71.4138
30762159,4,2,4.46,75.6791,-71.3142
30762498,4,2,11.88,75.9034,-71.0776
30847954,4,2,12.24,75.8703,-68.7206
30848598,4,2,10.90,75.7378,-68.5666
30848801,4,2,8.60,75.7677,-68.5114
30853990,4,1,10.89,75.7944,-66.3578
30854160,4,1,11.16,75.8759,-66.2658
30855727,4,1,11.69,76.0566,-66.4329
30933258,4,2,12.28,76.2128,-68.0923
30933383,4,2,12.19,76.2091,-68.1312
30938252,4,2,8.48,76.2232,-69.1688
30941184,4,2,8.57,76.2141,-69.7048
31006009,4,2,12.74,75.9844,-70.5230
31006916,4,2,12.61,76.0775,-70.6886
31011838,4,2,11.62,76.3125,-71.7623
31019475,4,2,12.82,76.4949,-70.2692
31028580,4,2,10.76,76.4755,-69.3117
31104764,4,2,7.62,76.4958,-68.4163
31105402,4,2,9.77,76.3771,-68.2561
31105684,4,2,12.12,76.4750,-68.1807
31105740,4,2,12.36,76.3630,-68.1674
31106039,4,2,8.00,76.2779,-68.0864
31107108,4,2,10.04,76.3627,-67.7204
31109583,4,1,13.39,76.4554,-66.5439
31109853,4,1,12.41,76.4982,-66.4104
31178354,4,2,12.51,76.7567,-67.6249
31179797,4,2,12.72,76.8591,-68.1220
31181424,4,2,11.65,76.6145,-68.5112
31181554,4,2,10.73,76.8351,-68.5357
31183609,4,2,11.44,76.8166,-68.8835
31189964,4,2,10.40,76.5941,-70.0417
31264898,4,2,11.02,76.8381,-70.9356
31266926,4,2,9.64,88.1558,-71.5154
31268146,4,2,10.13,88.0712,-70.9204
31273263,4,2,10.79,88.1038,-68.1594
31310253,4,2,12.28,88.4575,-66.4270
31311109,4,2,10.49,88.2940,-67.0682
